route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
02_1,FULLW,02_1_PM_18,,,,shape_60
02_1,FULLW,02_1_PM_19,,,,shape_61
02_1,FULLW,02_1_PM_20,,,,shape_62
02_1,FULLW,02_1_PM_21,,,,shape_63
02_1,FULLW,02_1_PM_22,,,,shape_64
02_1,FULLW,02_1_PM_23,,,,shape_65
02_1,FULLW,02_1_PM_24,,,,shape_66
02_1,FULLW,02_1_PM_25,,,,shape_67
02_1,FULLW,02_1_PM_26,,,,shape_68
02_1,FULLW,02_1_PM_27,,,,shape_69
02_1,FULLW,02_1_PM_28,,,,shape_70
02_1,FULLW,02_1_PM_29,,,,shape_71
02_1,FULLW,02_1_PM_30,,,,shape_72
02_1,FULLW,02_1_PM_31,,,,shape_73
02_1,FULLW,02_1_PM_32,,,,shape_74
02_1,FULLW,02_1_PM_33,,,,shape_75
02_1,FULLW,02_1_PM_34,,,,shape_76
02_1,FULLW,02_1_PM_35,,,,shape_77
02_1,FULLW,02_1_PM_36,,,,shape_78
02_1,FULLW,02_1_PM_37,,,,shape_79
02_1,FULLW,02_1_PM_38,,,,shape_80
02_1,FULLW,02_1_PM_39,,,,shape_81
02_1,FULLW,02_1_PM_40,,,,shape_82
02_2,FULLW,02_2_PM_1,,,,shape_83
02_2,FULLW,02_2_PM_2,,,,shape_84
02_2,FULLW,02_2_PM_3,,,,shape_85
02_2,FULLW,02_2_PM_4,,,,shape_86
02_2,FULLW,02_2_PM_5,,,,shape_87
02_2,FULLW,02_2_PM_6,,,,shape_88
02_2,FULLW,02_2_PM_7,,,,shape_89
02_2,FULLW,02_2_PM_8,,,,shape_90
02_2,FULLW,02_2_PM_9,,,,shape_91
02_2,FULLW,02_2_PM_10,,,,shape_92
02_2,FULLW,02_2_PM_11,,,,shape_93
02_2,FULLW,02_2_PM_12,,,,shape_94
02_2,FULLW,02_2_PM_13,,,,shape_95
02_2,FULLW,02_2_PM_14,,,,shape_96
02_2,FULLW,02_2_PM_15,,,,shape_97
02_2,FULLW,02_2_PM_16,,,,shape_98
02_2,FULLW,02_2_PM_17,,,,shape_99
02_2,FULLW,02_2_PM_18,,,,shape_100
02_2,FULLW,02_2_PM_19,,,,shape_101
02_2,FULLW,02_2_PM_20,,,,shape_102
02_2,FULLW,02_2_PM_21,,,,shape_103
02_2,FULLW,02_2_PM_22,,,,shape_104
02_2,FULLW,02_2_PM_23,,,,shape_105
02_2,FULLW,02_2_PM_24,,,,shape_106
02_2,FULLW,02_2_PM_25,,,,shape_107
02_2,FULLW,02_2_PM_26,,,,shape_108
02_2,FULLW,02_2_PM_27,,,,shape_109
02_2,FULLW,02_2_PM_28,,,,shape_110
02_2,FULLW,02_2_PM_29,,,,shape_111
02_2,FULLW,02_2_PM_30,,,,shape_112
02_2,FULLW,02_2_PM_31,,,,shape_113
02_2,FULLW,02_2_PM_32,,,,shape_114
02_2,FULLW,02_2_PM_33,,,,shape_115
02_2,FULLW,02_2_PM_34,,,,shape_116
02_2,FULLW,02_2_PM_35,,,,shape_117
02_2,FULLW,02_2_PM_36,,,,shape_118
02_2,FULLW,02_2_PM_37,,,,shape_119
